#     c             x                       x                  y            
   1.0000100720E-02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   2.0000101720E-02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   3.0000102720E-02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   4.0000103720E-02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   5.0000104720E-02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   6.0000105720E-02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   7.0000106720E-02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   8.0000107720E-02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   9.0000108720E-02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   1.0000010972E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   1.1000011072E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   1.2000011172E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   1.3000011272E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   1.4000011372E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   1.5000011472E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   1.6000011572E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   1.7000011672E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   1.8000011772E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   1.9000011872E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   2.0000011972E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   2.1000012072E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   2.2000012172E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   2.3000012272E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   2.4000012372E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   2.5000012472E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   2.6000012572E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   2.7000012672E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   2.8000012772E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   2.9000012872E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   3.0000012972E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   3.1000013072E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   3.2000013172E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   3.3000013272E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   3.4000013372E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   3.5000013472E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   3.6000013572E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   3.7000013672E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   3.8000013772E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   3.9000013872E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   4.0000013972E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   4.1000014072E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   4.2000014172E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   4.3000014272E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   4.4000014372E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   4.5000014472E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   4.6000014572E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   4.7000014672E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   4.8000014772E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   4.9000014872E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   5.0000000000E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00

#     c                MIN y              MAX x              MAX y              PERIOD         
   2.4990000106E-01  -5.0986115458E-01   5.0986115458E-01   5.0986115459E-01   1.2319972475E+01
   2.4960010204E-01  -5.1985593583E-01   5.1985593583E-01   5.1985593584E-01   1.2083107949E+01
   2.4910078165E-01  -5.2984273816E-01   5.2984273816E-01   5.2984273817E-01   1.1855358086E+01
   2.4840283326E-01  -5.3981762180E-01   5.3981762180E-01   5.3981762180E-01   1.1636291847E+01
   2.4750735798E-01  -5.4977670814E-01   5.4977670814E-01   5.4977670814E-01   1.1425502933E+01
   2.4641575524E-01  -5.5971619888E-01   5.5971619888E-01   5.5971619888E-01   1.1222607821E+01
   2.4512971094E-01  -5.6963239355E-01   5.6963239354E-01   5.6963239353E-01   1.1027243997E+01
   2.4365118358E-01  -5.7952170567E-01   5.7952170566E-01   5.7952170565E-01   1.0839068374E+01
   2.4198238844E-01  -5.8938067806E-01   5.8938067804E-01   5.8938067803E-01   1.0657755889E+01
   2.4012578023E-01  -5.9920599567E-01   5.9920599566E-01   5.9920599566E-01   1.0482998232E+01
   2.3808403451E-01  -6.0899449666E-01   6.0899449665E-01   6.0899449665E-01   1.0314502721E+01
   2.3586002815E-01  -6.1874318219E-01   6.1874318218E-01   6.1874318219E-01   1.0151991285E+01
   2.3345681916E-01  -6.2844922367E-01   6.2844922368E-01   6.2844922369E-01   9.9951995434E+00
   2.3087762619E-01  -6.3810996823E-01   6.3810996824E-01   6.3810996825E-01   9.8438759872E+00
   2.2812580804E-01  -6.4772294278E-01   6.4772294278E-01   6.4772294279E-01   9.6977812251E+00
   2.2520484334E-01  -6.5728585588E-01   6.5728585589E-01   6.5728585589E-01   9.5566873039E+00
   2.2211831069E-01  -6.6679659807E-01   6.6679659808E-01   6.6679659809E-01   9.4203770866E+00
   2.1886986948E-01  -6.7625324104E-01   6.7625324104E-01   6.7625324105E-01   9.2886436808E+00
   2.1546324149E-01  -6.8565403502E-01   6.8565403502E-01   6.8565403502E-01   9.1612899121E+00
   2.1190219352E-01  -6.9499740516E-01   6.9499740517E-01   6.9499740516E-01   9.0381278369E+00
   2.0819052102E-01  -7.0428194705E-01   7.0428194706E-01   7.0428194705E-01   8.9189782877E+00
   2.0433203291E-01  -7.1350642107E-01   7.1350642106E-01   7.1350642106E-01   8.8036704492E+00
   2.0033053756E-01  -7.2266974610E-01   7.2266974608E-01   7.2266974608E-01   8.6920414593E+00
   1.9618983002E-01  -7.3177099286E-01   7.3177099285E-01   7.3177099285E-01   8.5839360343E+00
   1.9191368047E-01  -7.4080937659E-01   7.4080937660E-01   7.4080937658E-01   8.4792061129E+00
   1.8750582384E-01  -7.4978424943E-01   7.4978424943E-01   7.4978424941E-01   8.3777105205E+00
   1.8296995064E-01  -7.5869509271E-01   7.5869509272E-01   7.5869509270E-01   8.2793146481E+00
   1.7830969891E-01  -7.6754150912E-01   7.6754150912E-01   7.6754150912E-01   8.1838901477E+00
   1.7352864722E-01  -7.7632321481E-01   7.7632321481E-01   7.7632321482E-01   8.0913146414E+00
   1.6863030872E-01  -7.8504003161E-01   7.8504003161E-01   7.8504003162E-01   8.0014714428E+00
   1.6361812613E-01  -7.9369187935E-01   7.9369187934E-01   7.9369187935E-01   7.9142492919E+00
   1.5849546756E-01  -8.0227876857E-01   8.0227876855E-01   8.0227876857E-01   7.8295420996E+00
   1.5326562321E-01  -8.1080079306E-01   8.1080079304E-01   8.1080079305E-01   7.7472487051E+00
   1.4793180274E-01  -8.1925812303E-01   8.1925812305E-01   8.1925812304E-01   7.6672726426E+00
   1.4249713334E-01  -8.2765099859E-01   8.2765099861E-01   8.2765099860E-01   7.5895219176E+00
   1.3696465843E-01  -8.3597972318E-01   8.3597972320E-01   8.3597972319E-01   7.5139087944E+00
   1.3133733677E-01  -8.4424465767E-01   8.4424465765E-01   8.4424465766E-01   7.4403495911E+00
   1.2561804224E-01  -8.5244621491E-01   8.5244621489E-01   8.5244621490E-01   7.3687644846E+00
   1.1980956383E-01  -8.6058485400E-01   8.6058485398E-01   8.6058485398E-01   7.2990773244E+00
   1.1391460616E-01  -8.6866107550E-01   8.6866107551E-01   8.6866107550E-01   7.2312154534E+00
